,Name
0,Afghanistan
1,Albania
2,Algeria
3,Angola
4,Antigua and Barbuda
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahamas
11,Bangladesh
12,Barbados
13,Belarus
14,Belgium
15,Belize
16,Benin
17,Bhutan
18,Bolivia
19,Bosnia and Herzegovina
20,Botswana
21,Brazil
22,Brunei
23,Bulgaria
24,Burkina Faso
25,Burundi
26,Ivory Coast
27,Cambodia
28,Cameroon
29,Canada
30,Central African Republic
31,Chad
32,Chile
33,China
34,Colombia
35,Comoros
36,Cook Islands
37,Costa Rica
38,Croatia
39,Cuba
40,Cyprus
41,Czech Republic
42,Democratic Republic of the Congo
43,Denmark
44,Dominican Republic
45,Ecuador
46,Egypt
47,El Salvador
48,Equatorial Guinea
49,Eritrea
50,Estonia
51,Eswatini
52,Ethiopia
53,Fiji
54,Finland
55,France
56,Gabon
57,Gambia
58,Georgia
59,Germany
60,Ghana
61,Greece
62,Grenada
63,Guatemala
64,Guinea
65,Guinea-Bissau
66,Guyana
67,Haiti
68,Honduras
69,Hungary
70,India
71,Indonesia
72,Iran
73,Iraq
74,Ireland
75,Israel
76,Italy
77,Jamaica
78,Japan
79,Jordan
80,Kazakhstan
81,Kenya
82,Kyrgyzstan
83,Laos
84,Latvia
85,Lebanon
86,Lesotho
87,Liberia
88,Libya
89,Lithuania
90,Luxembourg
91,Madagascar
92,Malawi
93,Malaysia
94,Maldives
95,Mali
96,Malta
97,Mauritania
98,Mauritius
99,Mexico
100,Mongolia
101,Morocco
102,Mozambique
103,Myanmar
104,Namibia
105,Nepal
106,Netherlands
107,New Zealand
108,Nicaragua
109,Niger
110,Nigeria
111,Norway
112,Pakistan
113,Panama
114,Papua New Guinea
115,Paraguay
116,Peru
117,Philippines
118,Poland
119,Portugal
120,Romania
121,Russia
122,Rwanda
123,Saint Kitts and Nevis
124,Saint Lucia
125,Saint Vincent and the Grenadines
126,Sao Tome and Principe
127,Saudi Arabia
128,Senegal
129,Serbia
130,Sierra Leone
131,Singapore
132,Slovakia
133,Slovenia
134,Somalia
135,South Africa
136,South Korea
137,South Sudan
138,Spain
139,Sri Lanka
140,Sudan
141,Suriname
142,Sweden
143,Switzerland
144,Syria
145,Tajikistan
146,Tanzania
147,Thailand
148,Timor-Leste
149,Togo
150,Trinidad and Tobago
151,Tunisia
152,Turkey
153,Turkmenistan
154,Uganda
155,Ukraine
156,United Kingdom
157,United States
158,Uruguay
159,Uzbekistan
160,Venezuela
161,Vietnam
162,Yemen
163,Zambia
164,Zimbabwe
